"Interval start","Graph 1"
"39.800","61"
"39.900","66"
"40.000","33"
"40.100","63"
"40.200","31"
"40.300","59"
"40.400","35"
"40.500","70"
"40.600","71"
"40.700","73"
"40.800","71"
"40.900","66"
"41.000","74"
"41.100","101"
"41.200","44"
"41.300","79"
"41.400","18"
"41.500","70"
"41.600","68"
"41.700","43"
"41.800","46"
"41.900","55"
"42.000","56"
"42.100","66"
"42.200","33"
"42.300","44"
"42.400","25"
"42.500","113"
"42.600","37"
"42.700","78"
"42.800","77"
"42.900","49"
"43.000","56"
"43.100","78"
"43.200","74"
"43.300","55"
"43.400","47"
"43.500","70"
"43.600","76"
"43.700","69"
"43.800","74"
"43.900","50"
"44.000","90"
"44.100","73"
"44.200","51"
"44.300","75"
"44.400","58"
"44.500","75"
"44.600","90"
"44.700","40"
"44.800","53"
"44.900","20"
"45.000","59"
"45.100","71"
"45.200","34"
"45.300","56"
"45.400","46"
"45.500","27"
"45.600","31"
"45.700","45"
"45.800","33"
"45.900","31"
"46.000","52"
"46.100","23"
"46.200","34"
"46.300","42"
"46.400","34"
"46.500","34"
"46.600","34"
"46.700","47"
"46.800","26"
"46.900","41"
"47.000","32"
"47.100","39"
"47.200","24"
"47.300","39"
"47.400","38"
"47.500","42"
"47.600","31"
"47.700","36"
"47.800","16"
"47.900","54"
"48.000","19"
"48.100","39"
"48.200","11"
"48.300","34"
"48.400","20"
"48.500","44"
"48.600","30"
"48.700","23"
"48.800","24"
"48.900","29"
"49.000","24"
"49.100","36"
"49.200","23"
"49.300","21"
"49.400","21"
"49.500","45"
"49.600","27"
"49.700","31"
"49.800","31"
"49.900","44"
"50.000","22"
"50.100","29"
"50.200","46"
"50.300","27"
"50.400","38"
"50.500","42"
"50.600","33"
"50.700","36"
"50.800","36"
"50.900","32"
"51.000","38"
"51.100","43"
"51.200","42"
"51.300","30"
"51.400","24"
"51.500","40"
"51.600","29"
"51.700","51"
"51.800","39"
"51.900","41"
"52.000","34"
"52.100","48"
"52.200","30"
"52.300","54"
"52.400","47"
"52.500","29"
"52.600","33"
"52.700","42"
"52.800","28"
"52.900","43"
"53.000","48"
"53.100","45"
"53.200","22"
"53.300","53"
"53.400","32"
"53.500","45"
"53.600","22"
"53.700","85"
