"Interval start","Graph 1","Graph 2","Graph 3"
"25.900","114","1446","724"
"26.000","116","1449","786"
"26.100","140","1452","857"
"26.200","72","1381","1247"
"26.300","103","1422","1192"
"26.400","95","1457","970"
"26.500","101","1427","811"
"26.600","151","1475","744"
"26.700","115","1464","711"
"26.800","167","1462","787"
"26.900","89","1387","893"
"27.000","89","1428","909"
"27.100","119","1437","1118"
"27.200","79","1425","1011"
"27.300","63","1418","1442"
"27.400","93","1409","1314"
"27.500","97","1426","1149"
"27.600","58","1375","1381"
"27.700","53","1419","1724"
"27.800","87","1372","1414"
"27.900","61","1396","1505"
"28.000","49","1319","1633"
"28.100","89","1387","1494"
"28.200","79","1441","1061"
"28.300","87","1453","951"
"28.400","272","1484","430"
"28.500","266","1476","449"
"28.600","226","1493","421"
"28.700","166","1471","482"
"28.800","205","1483","607"
"28.900","176","1471","477"
"29.000","167","1437","571"
"29.100","200","1475","602"
"29.200","161","1462","519"
"29.300","170","1472","537"
"29.400","241","1482","418"
"29.500","166","1461","748"
"29.600","221","1477","408"
"29.700","120","1486","756"
"29.800","173","1472","687"
"29.900","180","1451","526"
"30.000","147","1458","559"
"30.100","146","1449","842"
"30.200","182","1481","489"
"30.300","191","1463","535"
"30.400","143","1479","637"
"30.500","169","1471","694"
"30.600","170","1461","571"
"30.700","125","1468","639"
"30.800","132","1458","688"
"30.900","186","1450","657"
"31.000","139","1442","671"
"31.100","152","1460","764"
"31.200","174","1460","390"
"31.300","177","1467","727"
"31.400","164","1490","539"
"31.500","137","1481","642"
"31.600","73","1380","1544"
"31.700","82","1429","1133"
"31.800","40","1253","3023"
"31.900","91","1343","1070"
"32.000","64","1374","1244"
"32.100","41","1277","2621"
"32.200","83","1396","1017"
"32.300","91","1388","1404"
"32.400","40","1364","2141"
"32.500","69","1458","1253"
"32.600","50","1351","2527"
"32.700","86","1415","960"
"32.800","29","1301","3126"
"32.900","95","1419","1292"
"33.000","83","1462","1001"
"33.100","119","1426","950"
"33.200","27","1373","2935"
"33.300","109","1406","1219"
"33.400","79","1434","1098"
"33.500","41","1304","2068"
"33.600","125","1428","994"
"33.700","29","1289","3060"
"33.800","82","1445","999"
"33.900","72","1388","1854"
"34.000","90","1335","1099"
"34.100","107","1424","872"
"34.200","34","1182","2311"
"34.300","91","1420","1020"
"34.400","105","1418","1207"
"34.500","45","1347","1892"
"34.600","112","1442","1109"
"34.700","44","1332","1832"
"34.800","82","1450","1139"
"34.900","100","1428","1072"
"35.000","50","1332","1510"
"35.100","129","1436","1042"
"35.200","38","1286","2077"
"35.300","79","1467","1179"
"35.400","59","1361","2047"
"35.500","130","1489","795"
"35.600","98","1397","1107"
"35.700","84","1434","1174"
"35.800","70","1389","1371"
"35.900","113","1419","827"
"36.000","26","1210","3005"
"36.100","108","1404","1230"
"36.200","79","1420","1095"
"36.300","48","1340","1792"
"36.400","134","1430","943"
"36.500","33","1269","2384"
"36.600","99","1462","946"
"36.700","123","1447","1039"
"36.800","67","1431","1561"
"36.900","88","1402","939"
"37.000","37","1265","2148"
"37.100","115","1405","1174"
"37.200","93","1422","924"
"37.300","63","1383","1379"
"37.400","110","1412","1109"
"37.500","39","1311","2309"
"37.600","97","1447","858"
"37.700","94","1393","1216"
"37.800","68","1381","1705"
"37.900","92","1452","1029"
"38.000","39","1321","2075"
"38.100","88","1448","941"
"38.200","64","1331","2050"
"38.300","127","1476","712"
"38.400","195","1492","638"
"38.500","195","1455","444"
"38.600","187","1478","577"
"38.700","137","1496","597"
"38.800","134","1462","681"
"38.900","212","1452","592"
"39.000","134","1474","685"
